feature,occurrences,frequency_%
Avg_Utilization_Ratio,47,94.0
CLIENTNUM,25,50.0
Total_Amt_Chng_Q4_Q1,24,48.0
Customer_Age,19,38.0
Total_Trans_Amt,17,34.0
marital_Status,14,28.0
Total_Trans_Ct,12,24.0
Contacts_Count_12_mon,12,24.0
Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2,11,22.0
Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,11,22.0
Total_Relationship_Count,11,22.0
gender,9,18.0
Dependent_count,8,16.0
education_Level,7,14.0
Months_on_book,7,14.0
income_Category,5,10.0
Months_Inactive_12_mon,4,8.0
attrition_Flag,1,2.0
card_Category,1,2.0
